eth_type,eth_src,eth_dst,protocol,ip_src,ip_dst,ip_proto,ip_src_port,ip_dst_port,occurrences,capfiles
0x0800,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,PN_IO_DEVICE,192.168.0.20,192.168.0.10,17,0,0,36,PCAP CPU REM_IO Startup.pcapng; PCAP CPU powerdip.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
0x0800,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,PN_IO_DEVICE,192.168.0.15,192.168.0.10,17,0,0,12,PCAP CPU powerdip.pcapng; PCAP CPU REM_IO Startup.pcapng; PCAP CPU_Disconnect.pcapng; PCAP Download Program.pcapng
0x0800,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,PN_IO_CONTROLLER,192.168.0.20,192.168.0.10,17,0,0,12,PCAP CPU REM_IO Startup.pcapng; PCAP CPU powerdip.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
0x0800,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,PN_IO_CONTROLLER,192.168.0.10,192.168.0.20,17,0,0,12,PCAP CPU REM_IO Startup.pcapng; PCAP CPU powerdip.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
0x8892,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,DATA,0.0.0.0,0.0.0.0,0,0,0,381,PCAP CPU powerdip.pcapng; PCAP CPU REM_IO Startup.pcapng; PCAP CPU_Disconnect.pcapng; PCAP Download Program.pcapng
0x8892,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,DATA,0.0.0.0,0.0.0.0,0,0,0,189,PCAP CPU powerdip.pcapng; PCAP CPU_Disconnect.pcapng; PCAP Download Program.pcapng
0x0800,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,PN_IO_CONTROLLER,192.168.0.15,192.168.0.10,17,0,0,4,PCAP CPU powerdip.pcapng; PCAP CPU REM_IO Startup.pcapng; PCAP CPU_Disconnect.pcapng; PCAP Download Program.pcapng
0x0800,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,PN_IO_CONTROLLER,192.168.0.10,192.168.0.15,17,0,0,4,PCAP CPU powerdip.pcapng; PCAP CPU REM_IO Startup.pcapng; PCAP CPU_Disconnect.pcapng; PCAP Download Program.pcapng
0x0806,38:4b:24:c9:15:f0,ff:ff:ff:ff:ff:ff,ARP,192.168.0.15,192.168.0.15,0,0,0,8,PCAP CPU powerdip.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP CPU_Disconnect.pcapng
0x888e,38:4b:24:c9:15:f3,01:80:c2:00:00:03,EAP,0.0.0.0,0.0.0.0,0,0,0,3,PCAP REM_IO_Disconnect.pcapng; PCAP CPU REM_IO Startup.pcapng; PCAP REM_IO_powerdip.pcapng
0x8892,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,PN_DCP,0.0.0.0,0.0.0.0,0,0,0,4,PCAP CPU REM_IO Startup.pcapng; PCAP REM_IO_powerdip.pcapng
0x8892,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,DATA,0.0.0.0,0.0.0.0,0,0,0,34086,PCAP REM_IO_Disconnect.pcapng; PCAP CPU REM_IO Startup.pcapng; PCAP REM_IO_powerdip.pcapng
0x888e,38:4b:24:c9:15:f4,01:80:c2:00:00:03,EAP,0.0.0.0,0.0.0.0,0,0,0,3,PCAP CPU powerdip.pcapng; PCAP CPU REM_IO Startup.pcapng; PCAP CPU_Disconnect.pcapng
0x0806,28:63:36:79:aa:b4,ff:ff:ff:ff:ff:ff,ARP,0.0.0.0,192.168.0.10,0,0,0,24,PCAP CPU powerdip.pcapng; PCAP CPU REM_IO Startup.pcapng
0x0806,38:4b:24:c9:15:f0,ff:ff:ff:ff:ff:ff,ARP,192.168.0.15,192.168.0.10,0,0,0
0x0806,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,ARP,192.168.0.10,192.168.0.15,0,0,0
